Room / Location / Component,Item Name,Comment,Price,OriginalFlag,Include
Roof,Trim Eave/Soffit Repairs,Soffit with Wood Repair / Rebuild damaged soffit/eave with matching materials and style. Style is flat soffit with vertical fascia. Price is per 12 foot of length.,0,0,Y
Exterior,Trim Fascia - Replace,Replace fascia board with new and caulk and paint to match,0,0,Y
Roof,"Trim Fascia - Replace 1""x3"" Fascia Trim",Replace 1x3 trim fascia with new and paint and caulk to match.,0,0,Y
Roof,Trim Fascia - Replace Clips & Caulk Joints,Replace fascia clips and caulk tight and paint to match.,0,0,Y
Exterior,"Trim Fascia Replace 1""x3"" Fascia Trim",Replace 1x3 trim fascia with new and paint and caulk to match,0,0,Y
Bedroom,Trim Shoe Mold,Trim - install missing shoe mold per LnFt,0,0,Y
Kitchen,Trim Shoe Mold,Trim - install missing shoe mold per LnFt,0,0,Y
Bedroom,Windows - Balancers Replace,replace balancers in single Hung windows to make window operate properly,0,0,Y
Kitchen,Windows - Balancers Replace,replace balancers in single Hung windows to make window operate properly,0,0,Y
Bedroom,Windows - Complete Window Unit - Replace,replace new window unit to match existing windows as close as possible to color and style,0,0,Y
Kitchen,Windows - Complete Window Unit - Replace,replace new window unit to match existing windows as close as possible to color and style,0,0,Y
Exterior,Windows - Complete Window Unit Replace,replace new window unit to match existing windows as close as possible to color and style,0,0,Y
Bedroom,Windows - Interior - Casing and Trim,"replace interior window casing / trim. replace all casing per window to include existing sides, top and under sill",0,0,Y
Kitchen,Windows - Interior - Casing and Trim,"replace interior window casing / trim. replace all casing per window to include existing sides, top and under sill",0,0,Y
Bedroom,Windows - Lock (Latch) - Repair,Windows - Repair latching Lock with matching existing style and color,0,0,Y
Kitchen,Windows - Lock (Latch) - Repair,Windows - Repair latching Lock with matching existing style and color,0,0,Y
Bedroom / Bathroom / Kitchen,Windows - Panes (Individual) - Replace,Replace window pane that has a broken thermoseal with a new unit to match existing style and color.,0,1,Y
Bedroom,Windows - Panes (Individual) - Replace,Replace broken window pane with new unit to match existing style and color,0,0,Y
Kitchen,Windows - Panes (Individual) - Replace,Replace broken window pane with new unit to match existing style and color,0,0,Y
Exterior,Windows - Screen - Repair,replace missing or damaged window screen to match existing color and style,0,0,Y
Bedroom,Windows - Screen - Repair,replace missing or damaged window screen to match existing color and style,0,0,Y
Kitchen,Windows - Screen - Repair,replace missing or damaged window screen to match existing color and style,0,0,Y
Exterior,Windows - Screen - Replace,Windows - Screen Replace with new screen and repair rails as needed,0,0,Y
Exterior,Windows - Shutters - Paint,Paint touch up of existing shutters to match existing colors.,0,0,Y
Exterior,Windows - Shutters - Replace,Replace shutters missing or damaged with new matching existing and paint to match colors,0,0,Y
Exterior,Windows - Sliding Door Replace Screen,Replace screen at sliding glass door - pick matching color.,0,0,Y
Bedroom,Windows - Sliding Glass Door - Replace,Replace damaged Sliding Glass Door with new one,0,0,Y
Kitchen,Windows - Sliding Glass Door - Replace,Replace damaged Sliding Glass Door with new one,0,0,Y
Bedroom,Windows - Sliding Glass Door - Replace Glass Only,Replace broken glass at sliding glass door 6' tall,0,0,Y
Kitchen,Windows - Sliding Glass Door - Replace Glass Only,Replace broken glass at sliding glass door 6' tall,0,0,Y
Bedroom,Windows - Sliding Glass Door Repair,"Repair sliding glass door to roll, lock and seal properly.",0,0,Y
Kitchen,Windows - Sliding Glass Door Repair,"Repair sliding glass door to roll, lock and seal properly.",0,0,Y
Exterior,Windows - Tint Remove,Remove window tint on glass. use water solution as to not scratch the windows. make sure all material and glue is removed and glass is clean,0,0,Y
Bedroom,Windows Blinds - Add New/ Replace,"Replace blinds with 2"" faux wood blinds. color to match existing if not existing default is white.",0,0,Y
Kitchen,Windows Blinds - Add New/ Replace,"Replace blinds with 2"" faux wood blinds. color to match existing if not existing default is white.",0,0,Y
Bedroom,Windows Blinds- Repair,Windows - Repair window blinds and make sure that they are fucntional,0,0,Y
Kitchen,Windows Blinds- Repair,Windows - Repair window blinds and make sure that they are fucntional,0,0,Y
Exterior,Windows- Panes (Individual) - Replace,Replace broken window pane with new unit to match existing style and color,0,0,Y
Bedroom,Windows Screen- Replace,Windows - Screen Replace with new screen and repair rails as needed,0,0,Y
Kitchen,Windows Screen- Replace,Windows - Screen Replace with new screen and repair rails as needed,0,0,Y
Exterior,Windows Shutters - Secure/ Re-attach,Replace shutters missing or damaged with new matching existing and paint to match colors,0,0,Y
Bedroom,Windows Sliding Door Replace Screen,Replace screen at sliding glass door - pick matching color.,0,0,Y
Kitchen,Windows Sliding Door Replace Screen,Replace screen at sliding glass door - pick matching color.,0,0,Y
Exterior,Windows Sliding Glass Door - Repair,"Repair sliding glass door to roll, lock and seal properly.",0,0,Y
Exterior,Windows Sliding Glass Door - Replace Glass Only,Replace broken glass at sliding glass door 6' tall,0,0,Y
Exterior,Windows- Sliding Glass Door Replace,Replace damaged Sliding Glass Door with new one,0,0,Y
Bedroom,Windows Tint Remove,Remove window tint on glass. use water solution as to not scratch the windows. make sure all material and glue is removed and glass is clean,0,0,Y
Kitchen,Windows Tint Remove,Remove window tint on glass. use water solution as to not scratch the windows. make sure all material and glue is removed and glass is clean,0,0,Y
Bedroom,Windows Track Rollers - Repair & Adjust,Repair window rollers and adjust window to close and lock properly,0,0,Y
Kitchen,Windows Track Rollers - Repair & Adjust,Repair window rollers and adjust window to close and lock properly,0,0,Y
Bathroom,Plumbing - Toilets - Replace,"Replace toilet with new one. Includes wax ring, check flange and nuts and level toilet in place.",0,1,Y
Bathroom,Plumbing - Toilets - Secure Toilet,Secure toilet that is loose / out of level with plastic wedge and caulk to floor.,0,1,Y
Bathroom,Plumbing - Toilets - Secure Toilet,Remove and re-install toilet. Include new wax ring installation.,0,1,Y
Bathroom,Plumbing - Toilets - Secure Toilet,Repair tank to toilet bowl connection where leaking or possible leak. ,0,1,Y
Bathroom,Plumbing - Toilets - Secure Toilet,Secure loose tank to toilet bowl connection. Replace any gaskets as needed.,0,1,Y
